페이지,클릭수,노출수,CTR,게재순위
https://ellite-gangnam.com/,13.0,152.0,0.0855,41.07
https://ellite-gangnam.com/location.html,8.0,46.0,0.1739,13.78
https://ellite-gangnam.com/price.html,4.0,217.0,0.0184,54.06
https://ellite-gangnam.com/blog.html,2.0,33.0,0.060599999999999994,48.21
https://ellite-gangnam.com/karaoke-faq.html,2.0,3.0,0.6667000000000001,50.0
https://ellite-gangnam.com/what-is-highpublic.html,1.0,15.0,0.0667,19.47
https://ellite-gangnam.com/hours.html,1.0,4.0,0.25,4.25
https://ellite-gangnam.com/yeoksam-guide.html,0.0,10.0,0.0,41.7
https://ellite-gangnam.com/seolleung-guide.html,0.0,9.0,0.0,15.78
https://ellite-gangnam.com/nonhyeon-guide.html,0.0,6.0,0.0,55.17
https://ellite-gangnam.com/sinsa-guide.html,0.0,3.0,0.0,69.33
https://ellite-gangnam.com/business-guide.html,0.0,2.0,0.0,2.0
https://ellite-gangnam.com/group-booking.html,0.0,1.0,0.0,9.0
https://ellite-gangnam.com/gangnam-area-guide.html,0.0,1.0,0.0,57.0
