검색어,클릭수,노출수,CTR,게재순위
선릉 엘리트,8.0,16.0,0.5,15.5
강남 엘리트,3.0,25.0,0.12,50.6
선릉 가라오케,3.0,7.0,0.4286,57.71
강남엘리트,2.0,39.0,0.0513,45.41
엘리트 가라오케,2.0,8.0,0.25,37.0
강남 가라오케,1.0,121.0,0.0083,55.8
가라오케 주대,1.0,33.0,0.030299999999999997,38.67
엘리트 하이퍼블릭,1.0,2.0,0.5,53.5
대치동 엘리트,1.0,1.0,1.0,48.0
사라있네,1.0,1.0,1.0,64.0
선릉 노래방,1.0,1.0,1.0,74.0
엘리트가라오케,0.0,20.0,0.0,31.95
강남가라오케,0.0,18.0,0.0,53.61
역삼 가라오케,0.0,8.0,0.0,41.5
강남 사라 있네,0.0,8.0,0.0,73.62
논현 가라오케,0.0,5.0,0.0,52.2
사라있네 가라오케,0.0,4.0,0.0,60.75
하이퍼블릭,0.0,3.0,0.0,14.0
사라 있네,0.0,3.0,0.0,78.67
엘리트 선릉,0.0,2.0,0.0,8.0
역삼가라오케,0.0,2.0,0.0,42.5
사라 있네 가라오케,0.0,2.0,0.0,62.5
선릉 cnn,0.0,2.0,0.0,64.0
선릉역 위치,0.0,1.0,0.0,7.0
선릉엘리트,0.0,1.0,0.0,9.0
강남 엘리트 가라오케,0.0,1.0,0.0,29.0
선릉 마돈나,0.0,1.0,0.0,57.0
선릉가라오케,0.0,1.0,0.0,63.0
강남사라있네,0.0,1.0,0.0,72.0
강남 엘리트 후기,0.0,1.0,0.0,87.0
신사 가라오케,0.0,1.0,0.0,108.0
